date freq power mode idcall country long latitude distance
2014-11-29 01:36:39      21036.6 15    CW   N4IJ           K      35.60000  -96.83000  5634
2014-11-29 01:36:53      21036.6 15    CW   JH6CDI         JA     33.58000  130.53000 15692
2014-11-29 01:37:26      21036.6 15    CW   JO4CFV         JA     33.57000  133.53000 15657
2014-11-29 01:38:43      21036.6 15    CW   JE6HCL         JA     33.58000  130.53000 15692
2014-11-29 01:38:59      21036.6 15    CW   VP2EWX         VP2E   18.23000  -63.00000  1832
2014-11-29 01:39:36      21036.6 15    CW   HK3ZD          HK      4.70000  -74.13000  2374
2014-11-29 01:40:24      21036.6 15    CW   JH1ERJ         JA     35.68000  139.67999 15292
2014-11-29 01:41:14      21036.6 15    CW   JG1IPS         JA     35.68000  139.67999 15292
2014-11-29 01:41:33      21036.6 15    CW   KA2FIR         K      41.17000  -74.57000  4554
2014-11-29 01:42:03      21036.6 15    CW   AL9A           KL     61.40000 -148.87000  9829
2014-11-29 01:42:43      21036.6 15    CW   WG3J           K      39.98000  -76.88000  4564
2014-11-29 01:43:06      21036.6 15    CW   PY4LH          PY    -18.58000  -46.53000  2729
2014-11-29 01:43:26      21036.6 15    CW   JS1OYN         JA     35.68000  139.67999 15292
2014-11-29 01:43:47      21036.6 15    CW   K6GGO          K      35.47000 -119.33000  7564
2014-11-29 01:44:04      21036.6 15    CW   VE7GL          VE     49.53000 -122.67000  8132
2014-11-29 01:44:26      21036.6 15    CW   PY3AU          PY    -30.05000  -51.18000  3922
2014-11-29 01:44:43      21036.6 15    CW   W6JMP          K      35.47000 -119.33000  7564
2014-11-29 01:45:26      21036.6 15    CW   JF1LLB         JA     35.68000  139.67999 15292
2014-11-29 01:46:15      21036.6 15    CW   K2YGM          K      41.17000  -74.57000  4554
2014-11-29 01:47:44      21036.6 15    CW   RA0SMS         UA9    57.37000  106.00000 12800
2014-11-29 01:48:14      21036.6 15    CW   KH6CS          KH6    21.12000 -157.48000 11319
2014-11-29 01:48:32      21036.6 15    CW   JE1LFX         JA     35.68000  139.67999 15292
2014-11-29 01:48:58      21036.6 15    CW   JA1SCE         JA     35.68000  139.67999 15292
2014-11-29 01:49:27      21036.6 15    CW   JA8FXY         JA     41.77000  140.73000 14620
2014-11-29 01:49:42      21036.6 15    CW   JA3YBK         JA     35.02000  135.77000 15458
2014-11-29 01:50:00      21036.6 15    CW   VE3OM          VE     43.80000  -79.25000  5018
2014-11-29 01:50:38      21036.6 15    CW   7K4GUR         JA     35.68000  139.67999 15292
2014-11-29 01:50:57      21036.6 15    CW   K7WK           K      41.28000 -116.58000  7461
2014-11-29 01:51:14      21036.6 15    CW   JL3MCM         JA     35.02000  135.77000 15458
2014-11-29 01:51:42      21036.6 15    CW   W6ZQ           K      35.47000 -119.33000  7564
2014-11-29 01:51:51      21036.6 15    CW   N7XU           K      41.28000 -116.58000  7461
